uid,u_cat_01,u_cat_02,u_cat_03,u_cat_04,u_cat_05,u_cat_06,u_cat_07,u_cat_08
u000189,17,2,4,13,3,3,2,1
u000190,56,1,3,1,1,3,2,1
u000191,21,2,5,5,1,3,4,2
u000192,1,2,5,26,3,2,2,2
u000193,48,2,5,9,2,3,1,1
u000194,34,2,2,16,2,3,4,1
u000195,14,1,3,1,2,3,4,1
u000196,14,2,3,14,4,1,2,1
u000197,6,1,1,16,2,3,0,1
u000198,41,2,5,0,0,3,0,2
u000199,22,2,4,26,1,3,3,2
u000200,41,1,4,10,5,3,0,2
u000201,6,1,5,26,2,3,0,1
u000202,14,2,3,16,6,2,2,1
u000203,57,1,1,31,3,3,0,2
u000204,14,2,5,27,1,3,0,1
u000205,22,2,3,17,6,3,0,1
u000206,35,1,2,17,4,3,0,2
u000207,1,2,5,0,0,2,2,1
u000208,59,2,2,28,6,3,0,1
u000209,46,2,5,9,2,2,2,2
u000210,52,2,3,17,6,3,0,1
u000211,35,2,6,28,6,3,0,1
u000212,35,1,1,10,5,3,0,1
u000213,31,2,4,9,1,3,4,1
u000214,44,2,3,12,4,3,0,1
u000215,31,2,5,1,2,3,1,2
u000216,22,1,4,30,2,3,0,2
u000217,31,1,3,12,4,3,3,2
u000218,27,2,5,20,4,3,0,2
u000219,46,2,2,16,6,3,4,2
u000220,13,2,5,9,6,3,0,2
u000221,34,2,5,0,0,3,1,1
u000222,27,2,5,1,3,3,0,2
u000223,20,2,6,10,5,3,0,2
u000224,27,2,5,0,0,3,0,2
u000225,52,2,5,20,6,3,0,2
u000226,56,2,3,0,0,3,2,2
u000227,1,1,5,20,1,2,2,2
u000228,14,2,5,22,1,3,0,1
u000229,11,2,3,9,2,3,0,2
u000230,14,1,5,0,0,3,2,1
u000231,34,1,3,26,2,3,0,1
u000232,64,1,4,0,0,3,0,2
u000233,34,1,3,2,3,3,1,2
u000234,3,1,6,16,3,3,3,1
u000235,46,1,3,1,1,3,1,1
u000236,52,1,2,0,0,3,4,1
u000237,56,1,4,14,4,3,4,1
u000238,46,2,5,22,2,3,2,1
u000239,38,2,5,9,1,3,0,1
u000240,48,2,5,9,2,3,0,1
u000241,27,2,5,16,2,3,0,2
u000242,21,2,3,12,4,3,0,2
u000243,35,1,6,20,1,3,2,1
u000244,34,1,5,0,0,3,0,1
u000245,13,1,1,0,0,3,2,2
u000246,56,2,5,31,2,3,0,2
u000247,31,2,5,5,4,3,0,2
u000248,27,2,5,4,1,3,0,1
u000249,56,2,4,16,3,3,2,1
u000250,31,1,4,31,2,3,1,1
u000251,34,1,4,1,4,2,2,2
u000252,18,1,4,0,0,3,2,2
u000253,29,2,5,0,0,3,4,2
u000254,46,2,5,19,4,3,0,2
u000255,22,2,5,19,4,3,0,2
u000256,13,2,2,28,6,3,2,1
u000257,65,2,3,28,3,3,1,2
u000258,21,1,3,12,4,3,0,2
u000259,29,2,5,2,3,3,0,1
u000260,31,1,2,0,0,3,0,2
u000261,18,2,4,0,0,3,2,2
u000262,46,2,3,31,2,3,0,2
u000263,46,1,2,22,2,3,1,1
u000264,64,1,2,29,6,3,0,2
u000265,53,2,2,0,0,3,0,1
u000266,3,1,4,16,2,3,0,2
u000267,9,2,2,0,0,3,4,1
u000268,14,2,5,23,1,3,0,1
u000269,3,2,5,30,6,3,0,1
u000270,38,1,4,21,6,3,4,1
u000271,52,1,5,9,2,3,0,2
u000272,34,2,5,0,0,3,0,1
u000273,13,1,6,30,6,3,1,1
u000274,27,2,5,0,0,3,0,1
u000275,31,2,5,16,2,1,4,1
u000276,13,2,5,19,4,3,0,1
u000277,59,1,3,17,4,3,1,1
u000278,27,1,1,29,4,3,4,2
u000279,48,1,2,9,2,3,0,1
u000280,29,1,4,12,1,3,0,1
u000281,29,2,5,30,6,3,4,1
u000282,27,2,5,29,1,3,0,2
u000283,52,2,5,0,0,3,0,2
u000284,48,1,2,9,3,3,2,1
u000285,3,2,5,16,6,3,0,1
u000286,13,2,5,31,1,3,0,1
u000287,22,2,3,24,4,3,0,2
u000288,59,1,3,16,2,3,0,1
u000289,13,1,2,19,6,3,2,2
u000290,53,2,1,30,6,3,2,1
u000291,34,2,5,5,1,3,0,1
u000292,38,1,2,9,1,3,0,2
u000293,46,1,3,0,0,3,2,1
u000294,34,2,5,0,0,3,0,1
u000295,18,2,5,0,0,3,0,1
u000296,21,2,5,2,0,3,0,1
u000297,54,1,2,9,6,3,0,2
u000298,31,1,3,9,3,2,4,2
u000299,27,2,5,12,3,3,0,2
u000300,48,2,1,26,2,3,2,1
u000301,6,2,5,9,2,3,0,1
u000302,17,1,2,0,0,3,0,1
u000303,14,1,3,9,3,3,0,1
u000304,56,2,5,31,2,3,0,1
u000305,34,2,5,0,0,3,0,1
u000306,35,1,6,16,2,3,0,1
u000307,48,2,3,9,6,3,4,2
u000308,14,1,3,30,2,1,4,1
u000309,25,2,3,31,5,3,1,2
u000310,13,2,3,20,1,3,1,2
u000311,13,1,1,0,0,3,2,2
u000312,14,2,4,0,0,3,4,2
u000313,53,1,1,0,0,3,4,1
u000314,38,2,6,16,6,3,3,2
u000315,18,1,3,16,2,3,1,1
u000316,46,2,5,0,0,3,0,2
u000317,31,1,2,23,1,2,2,2
u000318,56,2,5,23,1,3,4,2
u000319,35,2,5,7,4,3,2,2
u000320,29,1,5,22,2,3,0,1
u000321,59,1,2,0,0,3,2,1
u000322,64,1,1,23,1,3,2,2
u000323,9,1,2,4,4,3,0,1
u000324,20,2,5,29,4,3,0,1
u000325,18,2,5,5,2,3,4,1
u000326,46,2,5,0,0,1,3,2
u000327,13,2,5,26,2,3,1,2
u000328,56,2,5,31,1,3,3,2
u000329,52,2,5,0,0,3,4,1
u000330,23,1,3,16,2,2,2,2
u000331,29,2,4,19,1,3,4,2
u000332,22,2,5,26,4,3,0,2
u000333,52,2,5,0,0,3,0,2
u000334,59,2,6,31,2,3,0,1
u000335,58,2,5,9,2,3,0,1
u000336,13,1,1,12,2,3,0,1
u000337,34,2,5,11,6,3,2,2
u000338,17,2,2,22,1,3,4,2
u000339,14,2,5,20,4,3,0,2
u000340,38,2,5,0,0,3,1,1
u000341,3,2,5,12,4,3,0,1
u000342,23,1,3,0,0,3,1,2
u000343,35,1,5,29,4,3,0,1
u000344,29,1,4,22,2,3,1,2
u000345,6,2,1,15,5,3,0,1
u000346,14,1,2,23,1,3,4,2
u000347,56,1,2,0,0,3,0,1
u000348,22,2,5,26,2,3,0,2
u000349,8,1,5,0,0,3,0,1
u000350,14,1,5,9,2,3,2,1
u000351,14,2,4,16,2,3,4,2
u000352,46,1,3,1,1,3,1,1
u000353,3,2,3,0,0,3,0,2
u000354,56,1,4,26,0,3,4,1
u000355,56,2,5,30,6,3,4,1
u000356,53,2,2,16,2,3,0,1
u000357,31,1,4,16,2,3,2,2
u000358,20,1,1,0,0,3,0,1
u000359,18,2,5,22,2,3,0,2
u000360,13,1,4,31,1,3,0,1
u000361,27,2,5,19,6,3,4,1
u000362,13,2,5,31,1,3,1,1
u000363,21,2,5,9,2,3,4,1
u000364,34,1,3,0,0,1,4,1
u000365,48,2,5,0,0,3,0,2
u000366,38,1,4,22,2,3,4,2
u000367,3,2,4,2,0,3,0,1
u000368,9,2,5,11,6,3,0,1
u000369,21,1,3,0,0,3,0,1
u000370,6,2,5,0,0,3,1,1
u000371,52,2,5,0,0,3,0,2
u000372,31,2,5,0,0,3,1,2
u000373,1,1,5,31,2,2,1,1
u000374,38,2,5,31,1,3,0,1
u000375,29,1,1,2,0,3,2,2
u000376,22,1,4,5,2,3,0,2
u000377,29,2,5,30,6,3,4,2
u000378,48,1,1,29,4,3,2,2
u000379,14,1,6,26,1,1,2,1
u000380,14,2,5,19,1,3,4,1
u000381,52,1,2,0,0,3,0,1
u000382,8,2,5,22,1,3,1,1
u000383,52,1,3,0,0,3,1,2
u000384,18,2,5,5,2,3,1,2
u000385,46,2,5,5,1,1,2,1
u000386,27,1,2,0,0,3,1,1
u000387,4,1,6,15,5,3,2,2
u000388,38,2,3,26,1,3,2,2
u000389,59,2,4,21,6,3,2,2
u000390,34,2,3,0,0,3,0,1
u000391,58,2,2,0,0,3,4,2
u000392,25,1,6,10,5,3,0,2
u000393,14,2,5,5,1,3,0,1
u000394,27,1,2,9,1,3,0,1
u000395,14,1,3,0,0,3,4,2
u000396,35,1,2,0,0,3,1,2
u000397,46,2,5,7,4,2,2,1
u000398,12,1,5,0,0,3,0,2
u000399,56,2,3,12,2,3,2,2
u000400,59,1,2,26,2,3,0,2
u000401,27,2,5,30,1,3,4,1
u000402,3,1,4,2,3,3,0,2
u000403,14,1,3,12,4,1,2,2
u000404,56,2,5,31,2,1,4,2
u000405,4,2,5,0,0,3,1,2
u000406,46,2,5,31,2,2,2,2
u000407,31,1,3,9,1,3,4,1
u000408,35,2,5,19,6,3,0,2
u000409,31,2,5,0,0,3,4,2
u000410,56,1,2,13,1,3,4,2
u000411,13,1,1,22,2,3,2,1
u000412,48,1,3,0,0,3,0,1
u000413,1,2,5,29,4,3,2,2
u000414,13,2,5,19,4,3,0,1
u000415,13,2,5,26,2,3,4,1
u000416,31,1,2,11,2,1,1,1
u000417,1,1,2,31,2,2,2,2
u000418,54,2,5,31,5,3,0,1
u000419,29,2,5,31,4,3,0,1
u000420,56,2,5,0,0,3,4,2
u000421,20,2,5,0,0,3,0,1
u000422,20,2,4,22,2,3,0,2
u000423,34,2,3,2,0,3,1,1
u000424,29,2,5,2,0,3,0,1
u000425,46,1,3,30,6,3,4,2
u000426,46,2,5,9,2,1,1,2
u000427,52,2,5,5,1,3,0,1
u000428,59,2,2,30,2,3,0,1
u000429,18,2,5,1,2,2,0,2
u000430,31,1,2,9,1,1,4,2
u000431,27,1,2,0,0,2,0,2
u000432,53,1,1,0,0,3,0,2
u000433,35,2,5,28,6,3,4,2
u000434,17,2,2,1,3,3,0,1
u000435,27,1,2,0,0,3,0,1
u000436,48,1,5,30,2,3,0,1
u000437,14,2,3,23,1,3,4,1
u000438,21,2,4,24,4,3,0,2
u000439,31,2,5,26,0,3,2,2
u000440,27,2,3,29,4,3,0,1
u000441,7,1,2,0,0,3,0,1
u000442,64,1,5,1,1,3,4,2
u000443,64,2,3,0,0,3,0,1
u000444,29,2,3,1,2,3,2,1
u000445,57,2,2,1,3,3,2,1
u000446,56,2,5,31,2,3,0,2
u000447,18,2,5,1,1,3,2,1
u000448,54,2,5,0,0,3,0,1
u000449,14,1,4,31,2,3,4,1
u000450,31,2,5,11,2,3,0,2
u000451,59,2,5,9,1,3,0,1
u000452,52,1,5,9,6,3,0,2
u000453,54,2,5,0,0,3,2,1
u000454,20,1,5,30,2,3,0,2
u000455,53,2,3,12,4,3,4,1
u000456,64,2,1,0,0,3,0,2
u000457,31,2,5,12,2,3,0,2
u000458,14,2,5,5,1,3,0,2
u000459,20,2,3,12,1,3,0,2
u000460,22,2,5,0,0,3,0,1
u000461,17,2,5,31,5,3,0,1
u000462,48,2,5,5,2,3,0,1
u000463,27,1,2,13,1,3,4,1
u000464,58,2,5,26,1,3,4,2
u000465,3,1,5,22,2,3,4,2
u000466,34,1,2,16,2,1,4,2
u000467,25,1,2,0,0,3,0,2
u000468,56,2,2,31,2,3,0,1
u000469,64,2,5,29,6,3,0,2
u000470,12,2,2,20,4,3,1,1
u000471,14,2,3,0,0,3,4,2
u000472,38,2,3,19,6,3,1,2
u000473,38,1,5,17,4,3,0,2
u000474,17,1,2,16,2,3,0,1
u000475,1,2,3,29,2,3,4,2
u000476,27,1,2,23,4,3,4,1
u000477,17,1,1,16,2,3,0,1
u000478,59,2,3,0,0,3,4,2
u000479,18,2,5,16,2,3,1,1
u000480,48,2,5,19,4,3,0,1
u000481,14,2,2,16,3,3,0,2
u000482,32,1,6,15,5,3,2,1
u000483,6,1,3,9,2,3,0,1
u000484,10,1,2,25,3,3,2,1
u000485,3,2,3,12,2,3,0,2
u000486,46,1,2,21,2,3,4,2
u000487,59,2,5,12,2,3,0,1
u000488,54,2,5,0,0,3,1,1
u000489,52,1,2,9,3,3,4,2
u000490,38,2,3,0,0,3,0,2
u000491,1,2,5,12,2,2,1,1
u000492,52,2,5,26,3,3,4,1
u000493,8,1,3,1,1,3,1,1
u000494,3,2,5,21,2,3,1,1
u000495,6,1,5,0,0,3,0,2
u000496,14,1,3,9,1,3,1,1
u000497,10,1,1,0,0,3,0,1
u000498,41,2,5,26,1,3,0,1
u000499,31,2,5,1,1,2,4,1
u000500,6,2,2,31,1,3,0,2
u000501,31,2,5,31,2,3,2,1
u000502,52,1,2,0,0,3,1,2
u000503,46,2,4,0,0,3,4,1
u000504,9,1,3,0,0,3,0,1
u000505,14,2,5,2,0,3,2,2
u000506,6,2,3,16,3,3,4,1
u000507,28,2,5,29,6,3,1,1
u000508,48,2,3,5,1,3,0,1
u000509,46,1,2,22,2,1,0,1
u000510,18,1,1,31,1,1,2,2
u000511,3,1,1,1,3,3,0,2
u000512,54,2,5,26,3,3,0,1
u000513,38,2,3,26,1,3,3,1
u000514,29,2,5,0,0,3,0,2
u000515,11,2,3,31,2,3,0,1
u000516,41,2,2,30,2,3,4,1
u000517,27,2,5,0,0,3,0,2
u000518,56,1,4,1,2,3,0,2
u000519,52,1,3,26,3,3,0,2
u000520,8,2,5,30,1,3,1,1
u000521,56,2,3,23,1,3,4,1
u000522,35,1,5,4,4,3,2,2
u000523,29,2,5,2,0,3,0,2
u000524,22,1,4,31,2,3,0,2
u000525,59,2,5,26,2,3,0,2
u000526,64,2,5,26,1,3,0,2
u000527,17,2,5,26,1,3,1,1
u000528,6,2,5,1,1,3,0,2
u000529,14,2,3,0,0,1,2,2
u000530,27,2,5,1,2,3,0,1
u000531,31,1,2,0,0,3,0,1
u000532,13,1,3,29,4,3,0,1
u000533,64,2,2,28,3,3,0,1
u000534,13,1,4,22,2,3,4,2
u000535,34,1,1,13,1,3,4,2
u000536,14,2,5,28,6,3,4,2
u000537,53,1,1,26,1,3,0,2
u000538,3,2,5,3,4,3,0,2
u000539,56,2,5,0,0,3,0,1
u000540,64,2,2,28,6,3,0,1
u000541,22,2,5,9,1,3,0,2
u000542,18,2,5,22,2,3,1,1
u000543,21,2,5,0,0,3,0,2
u000544,35,1,1,28,6,3,0,1
u000545,35,2,2,31,2,3,4,2
u000546,29,1,4,22,2,3,4,1
u000547,14,2,5,22,2,3,4,2
u000548,27,2,5,30,6,3,0,1
u000549,17,1,1,1,1,3,4,1
u000550,18,2,5,26,1,3,4,1
u000551,59,2,5,9,2,3,0,1
u000552,46,1,3,26,1,3,4,1
u000553,21,2,4,12,2,3,0,2
u000554,21,2,5,13,3,3,0,2
u000555,17,2,2,26,1,3,0,1
u000556,20,2,6,26,3,3,0,1
u000557,9,1,2,16,6,3,1,1
u000558,31,2,3,16,2,3,0,2
u000559,59,1,2,31,3,3,4,1
u000560,48,1,5,22,2,3,4,2
u000561,3,2,2,0,0,3,0,2
u000562,46,2,5,20,4,3,2,2
u000563,46,2,5,5,1,3,1,1
u000564,38,2,5,0,0,3,0,1
u000565,56,2,5,12,2,3,2,1
u000566,14,2,5,31,1,3,1,2
u000567,22,2,1,10,5,3,2,1
u000568,34,1,3,20,2,3,0,1
u000569,23,2,3,1,4,2,4,2
u000570,38,2,5,0,0,3,2,2
u000571,38,2,5,31,2,3,0,1
u000572,38,2,6,16,2,3,0,2
u000573,31,2,5,9,2,3,0,2
u000574,56,1,4,16,6,3,0,2
u000575,46,2,5,26,1,3,1,2
u000576,22,2,5,5,1,3,0,1
u000577,35,2,2,30,6,3,0,2
u000578,27,1,2,23,6,3,2,1
u000579,48,2,5,0,0,3,0,1
u000580,18,2,5,31,1,3,4,1
u000581,29,1,4,1,1,3,1,1
u000582,3,2,5,30,1,3,2,2
u000583,48,1,4,9,3,3,1,2
u000584,52,2,3,13,3,3,0,1
u000585,29,2,5,0,0,3,0,1
u000586,52,2,5,1,2,3,0,2
u000587,11,1,3,31,2,3,0,1
u000588,59,2,5,26,2,3,0,2
u000589,53,2,1,21,1,3,4,1
u000590,3,1,2,7,4,3,0,2
u000591,10,2,2,9,2,3,0,2
u000592,47,2,5,0,0,2,2,1
u000593,38,1,3,1,2,3,0,1
u000594,48,2,5,11,4,3,0,1
u000595,59,2,5,0,0,3,2,2
u000596,14,1,3,0,0,1,4,1
u000597,20,1,2,26,3,3,1,1
u000598,64,1,2,1,2,3,0,2
u000599,48,1,2,4,4,3,0,2
u000600,20,1,6,0,0,3,3,2
u000601,14,1,2,5,2,3,0,2
u000602,14,1,4,26,1,3,4,2
u000603,34,1,2,13,2,3,2,2
u000604,22,1,3,31,1,3,0,2
u000605,3,1,3,12,3,3,0,1
u000606,4,1,3,0,0,3,1,2
u000607,9,1,2,7,1,3,1,2
u000608,14,1,3,4,4,1,2,1
u000609,56,2,5,5,3,3,1,1
u000610,58,1,3,16,3,3,0,2
u000611,17,1,1,0,0,3,0,2
u000612,38,1,3,31,1,3,0,1
u000613,13,2,2,30,2,3,0,1
u000614,27,2,2,30,2,3,0,2
u000615,22,2,5,26,1,3,0,2
u000616,56,2,5,1,2,3,4,2
u000617,46,1,5,0,0,3,4,1
u000618,14,2,5,9,2,3,4,2
u000619,21,2,5,9,2,3,2,2
u000620,13,2,5,31,2,3,0,1
u000621,1,1,3,19,1,2,4,1
u000622,64,2,1,13,2,3,2,2
u000623,17,2,5,26,2,3,0,1
u000624,46,2,2,16,6,2,2,1
u000625,48,1,2,0,0,3,4,1
u000626,35,2,5,9,2,3,0,1
u000627,27,2,5,9,6,3,0,1
u000628,31,2,5,31,5,3,0,2
u000629,12,2,5,0,0,3,1,2
u000630,29,2,5,31,6,2,0,1
u000631,14,2,5,9,6,3,0,2
u000632,54,1,4,12,2,3,2,2
u000633,53,1,2,31,1,3,0,1
u000634,17,1,6,9,1,3,3,2
u000635,48,2,5,27,4,3,0,1
u000636,46,1,4,1,1,2,0,1
u000637,46,2,3,20,2,3,4,1
u000638,18,2,5,5,2,3,0,2
u000639,38,1,4,1,1,3,0,1
u000640,14,2,5,9,2,3,2,1
u000641,48,1,3,9,2,3,0,1
u000642,56,1,3,27,4,2,2,1
u000643,52,2,3,19,1,2,0,2
u000644,13,2,5,30,6,3,0,1
u000645,52,2,5,12,4,3,2,1
u000646,20,2,5,22,2,3,0,2
u000647,52,2,5,30,2,3,0,2
u000648,18,2,5,12,4,3,4,1
u000649,13,1,2,16,6,3,0,1
u000650,46,1,3,0,0,3,4,2
u000651,18,2,5,0,0,3,0,2
u000652,20,2,3,22,2,3,0,1
u000653,38,2,4,0,0,3,1,1
u000654,17,2,5,0,0,3,4,1
u000655,53,1,6,16,2,3,0,2
u000656,35,2,1,28,3,3,0,2
u000657,31,1,3,19,1,2,1,1
u000658,18,2,5,31,1,3,1,1
u000659,64,2,5,0,0,3,0,1
u000660,18,2,5,9,6,3,4,2
u000661,21,1,5,31,2,3,0,1
u000662,27,2,5,26,2,3,1,1
u000663,34,2,5,31,5,3,0,2
u000664,27,1,4,26,1,3,1,1
u000665,18,1,3,1,2,3,0,1
u000666,34,1,5,1,1,3,2,1
u000667,54,1,1,9,2,3,3,2
u000668,34,2,2,0,0,3,4,1
u000669,31,1,2,0,0,2,1,2
u000670,35,2,3,23,4,3,0,2
u000671,59,2,5,30,2,3,0,2
u000672,56,1,2,1,2,1,2,1
u000673,13,2,5,9,2,3,2,2
u000674,14,2,3,0,0,3,0,2
u000675,59,1,3,30,2,3,0,1
u000676,34,1,2,4,4,3,0,2
u000677,18,1,3,0,0,3,0,1
u000678,20,2,1,19,6,3,0,2
u000679,38,2,5,31,2,3,0,1
u000680,18,1,3,12,4,1,0,1
u000681,59,2,5,30,6,3,0,1
u000682,13,2,5,26,1,3,0,2
u000683,48,2,3,0,0,3,1,1
u000684,48,1,3,1,2,3,0,1
u000685,22,2,5,1,2,3,0,2
u000686,59,1,5,31,5,3,2,1
u000687,6,2,5,0,0,3,2,2
u000688,59,1,2,0,0,3,1,2
u000689,9,2,4,20,2,3,0,2
u000690,8,1,1,0,0,3,0,2
u000691,21,1,2,1,2,3,1,1
u000692,21,2,5,30,2,3,0,1
u000693,17,1,3,1,4,3,0,2
u000694,38,1,2,24,4,3,0,2
